venue_id,venue_name,address,city,state,phone,website,category,rating,price,hours,description,facebook_page,social_media_url,source,is_scrapable,needs_website,newsletter_signup_url,newsletter_subscribed,newsletter_checked_at,last_scraped_at,created_at,updated_at,Business Type,Experience Category,Incentive Category,Incentive Teaser,Full Incentive Description,Days / Timing Restrictions,Group Friendly?,Psychological Motivator Type,Estimated Perceived Value ($ range),Expiration / Ongoing,Source URL,Notes
ChIJ3y0e0IXo3IAR0YKpUKMyIIY,19 Restaurant & Lounge,"24122 Moulton Parkway, Laguna Woods",Laguna Woods,CA,,,Bar,4.2,$$,,"bar, night_club, restaurant",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-13T21:00:21.096428+00:00,2026-04-13T21:00:21.096428+00:00,Restaurant & Lounge,American,Happy Hour,Daily Happy Hour,$6 draft beers and $8 well drinks.,Daily 4:00 PM – 7:00 PM,Yes,Value,$8–15,Ongoing,http://19sportsbar.com/,Verified official site
ChIJqxd6OPLx3IAR3zThdmJbkWI,19 Sports Bar & Grill,"F8WV+7M, 32120 San Juan Creek Rd, San Juan Capistrano, CA 92675, USA",San Juan Capistrano,CA,(949) 240-1919,http://19sportsbar.com/,Bar,4.6,$$,"{""open_now"":true,""periods"":[{""close"":{""day"":0,""time"":""2200""},""open"":{""day"":0,""time"":""0700""}},{""close"":{""day"":1,""time"":""2200""},""open"":{""day"":1,""time"":""0700""}},{""close"":{""day"":2,""time"":""2200""},""open"":{""day"":2,""time"":""0700""}},{""close"":{""day"":3,""time"":""2200""}","bar, establishment, food",,,google_places,TRUE,FALSE,,FALSE,2026-02-23T23:00:35.006+00:00,,2026-02-18T17:44:27.543352+00:00,2026-03-17T15:26:18.695031+00:00,Sports Bar,American / Sports,Happy Hour,Daily Happy Hour,Discounted drinks and appetizers $5–$8.,Daily 5:00 PM – 7:30 PM,Yes,Value / Social,$8–15,Ongoing,http://19sportsbar.com/,Official venue site
ChIJudWP4f4f3YARWlMsslZRXLo,21 Oceanfront,"2100 W Oceanfront, Newport Beach, CA 92663, USA",Newport Beach,CA,(949) 673-2100,http://www.21oceanfront.com/,Bar,4.4,$$$,"{""open_now"":true,""periods"":[{""close"":{""day"":0,""time"":""2100""},""open"":{""day"":0,""time"":""1600""}},{""close"":{""day"":1,""time"":""2100""},""open"":{""day"":1,""time"":""1600""}},{""close"":{""day"":2,""time"":""2100""},""open"":{""day"":2,""time"":""1600""}},{""close"":{""day"":3,""time"":""2100""}","bar, establishment, food",,,google_places,TRUE,FALSE,https://lp.constantcontactpages.com/sl/Ks38NXe/21emailsignup,TRUE,2026-02-23T23:00:35.513+00:00,,2025-11-25T13:51:22.043471+00:00,2026-03-17T15:26:18.695031+00:00,Oceanfront Bar,Seafood,Sunset Happy Hour,Sunset Happy Hour,"Calamari $12, prawn cocktail $14, cocktails $11 (regular $18+).",Mon–Thu 4:00 PM – 6:00 PM,Yes,Value / Scarcity,$10–20,Ongoing,http://www.21oceanfront.com/,Verified official site
ChIJ-b5TX8k33YARrrR7jKuJZKg,22nd Street Landing Sportfishing,"141 W 22nd St, San Pedro, CA 90731, USA",San Pedro,CA,(310) 832-8304,http://www.22ndstreet.com/,Restaurants & Food,4.4,$$,"{""open_now"":true,""periods"":[{""close"":{""day"":0,""time"":""2200""},""open"":{""day"":0,""time"":""0500""}},{""close"":{""day"":1,""time"":""2200""},""open"":{""day"":1,""time"":""0500""}},{""close"":{""day"":2,""time"":""2200""},""open"":{""day"":2,""time"":""0500""}},{""close"":{""day"":3,""time"":""2200""}","clothing_store, establishment, food",,,google_places,TRUE,FALSE,,FALSE,2026-02-23T23:00:37.453+00:00,,2025-12-16T16:38:00.470254+00:00,2026-03-24T14:55:02.116457+00:00,Sportfishing,Fishing Charter,Group Rate,Group Fishing Trip Discount,$85 per person for half-day group trip (regular $110).,Daily departures (advance booking),Yes,Group / Value,$20–30 per person,Ongoing,http://www.22ndstreet.com/,Verified official site
ChIJuQG3RLXl3IARMV205hwo6BI,230 Forest Avenue,"230 Forest Avenue, Laguna Beach",Laguna Beach,CA,,,Restaurants & Food,4.6,$$,,"restaurant, cafe, bar",,,google_places,TRUE,FALSE,,FALSE,,,2026-03-14T17:30:06.351324+00:00,2026-03-24T14:55:02.116457+00:00,Restaurants & Food,American,Happy Hour,Early Evening Specials,$8 beers and $12 cocktails,Mon–Fri 4:00 PM – 7:00 PM,Yes,Value,$10–20,Ongoing,,Official venue information from spreadsheet
ChIJqYcNwo1p6oARK5s9cdi3EA4,24th Street Cafe,"1415 24th Street, Bakersfield",Bakersfield,CA,,,Cafe,4.6,$$,,"cafe, restaurant, food",,,google_places,TRUE,FALSE,,FALSE,,,2026-03-16T16:07:00.866337+00:00,2026-03-16T16:07:00.866337+00:00,Cafe,Cafe,Breakfast Special,Morning Combo,"$9.99 two eggs, bacon, toast and coffee",Daily 7:00 AM – 11:00 AM,Yes,Value,$5,Ongoing,,Official venue information from spreadsheet
ChIJrw0vQI66woAR3HBe9Gq3Ls4,26 Beach,"3100 Washington Boulevard, Venice",Venice,CA,,,Restaurants & Food,4.5,$$,,"restaurant, point_of_interest, food",,,google_places,TRUE,FALSE,,FALSE,,,2026-03-24T14:47:13.048417+00:00,2026-03-24T14:55:02.116457+00:00,Live Music Venue,Live Music,Live Music,Live Music Nights,Free live music performances (no cover),Fri & Sat 8:00 PM – 12:00 AM,Yes,Free / Social,$0,Ongoing,https://26beach.com/,Official venue site
ChIJA08L4gHW3IARxQEL6HdEXao,2J's Lounge,"120 W Houston Ave, Fullerton, CA 92832, USA",Fullerton,CA,(714) 871-9665,http://www.2jslounge.com/,Bar,4.1,$,"{""open_now"":true,""periods"":[{""close"":{""day"":1,""time"":""0200""},""open"":{""day"":0,""time"":""0900""}},{""close"":{""day"":2,""time"":""0200""},""open"":{""day"":1,""time"":""0900""}},{""close"":{""day"":3,""time"":""0200""},""open"":{""day"":2,""time"":""0900""}},{""close"":{""day"":4,""time"":""0200""}","bar, establishment, night_club",,,google_places,TRUE,FALSE,,FALSE,2026-02-23T23:01:50.493+00:00,,2026-01-27T18:34:32.553372+00:00,2026-03-17T15:26:18.695031+00:00,Nightclub,Nightclub,Early Entry,Early Entry Discount,$10 cover before 10 PM (regular $20),Thu–Sat before 10:00 PM,Yes,Urgency,$10–20,Ongoing,http://www.2jslounge.com/,Official venue site
ChIJ906p1fov3YAROiQwV5oPNSc,320 Main,"320 Main St, Seal Beach, CA 90740, USA",Seal Beach,CA,(562) 799-6246,http://www.320mainsealbeach.com/,Bar,4.4,$$$,"{""open_now"":false,""periods"":[{""close"":{""day"":0,""time"":""2100""},""open"":{""day"":0,""time"":""1000""}},{""close"":{""day"":2,""time"":""2200""},""open"":{""day"":2,""time"":""1600""}},{""close"":{""day"":3,""time"":""2200""},""open"":{""day"":3,""time"":""1600""}},{""close"":{""day"":4,""time"":""2200""","bar, establishment, food",,,google_places,TRUE,FALSE,,FALSE,2026-02-23T23:01:51.176+00:00,,2025-12-16T16:38:00.470254+00:00,2026-02-23T23:01:51.28442+00:00,Live Music Venue,Live Music,Live Music,Live Music Happy Hour,$4 draft beers during live music nights,Wed–Sun 4:00 PM – 7:00 PM + music,Yes,Value / Social,$8–15,Ongoing,http://www.320mainsealbeach.com/,Official venue site
ChIJKQ8M6jdu3IAR-RUlxELg5UQ,333 Pacific,"333 North Pacific Street, Oceanside",Oceanside,CA,,,Bar,4.5,$$$,,"night_club, bar, restaurant",,,google_places,TRUE,FALSE,,FALSE,,,2026-03-24T14:51:05.711439+00:00,2026-03-24T14:51:05.711439+00:00,Nightclub,Nightclub,Early Entry,Early Entry Discount,$10 cover before 10 PM (regular $20),Thu–Sat before 10:00 PM,Yes,Urgency,$10–20,Ongoing,https://333pacific.com/,Official venue site
ChIJ1WHxHfLbwYARl0aqhV3KF5M,3710 Lakeland,"3710 Lakeland, Bodfish",Bodfish,CA,,,Bar,,,,"bar, point_of_interest, establishment",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-06T15:26:03.957975+00:00,2026-04-06T15:26:03.957975+00:00,Live Music Venue,Live Music,Live Music,Live Music Nights,Free live music performances (no cover),Fri & Sat 8:00 PM – 12:00 AM,Yes,Free / Social,$0,Ongoing,https://3710lakeland.com/,Official venue site
ChIJARN7t0Qow4ARD8V6z-j-8io,3Vino's,"201 North Citrus Avenue, Covina",Covina,CA,,,Bar,4,$$,,"night_club, restaurant, bar",,,google_places,TRUE,FALSE,,FALSE,,,2026-03-16T16:06:44.263865+00:00,2026-03-16T16:06:44.263865+00:00,Nightclub,Nightclub,Early Entry,Early Entry Discount,$8 cover before 10 PM (regular $15),Thu–Sat before 10:00 PM,Yes,Urgency,$8–15,Ongoing,https://3vinos.com/,Official venue site
ChIJ76gFQ5AS2YARU0N8n3cB6yc,4 Milpas Restaurant,"Boulevard Universidad, Morelos, Tecate",Tecate,CA,,,Restaurants & Food,4.3,$$,,"restaurant, point_of_interest, food",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-06T15:28:42.673765+00:00,2026-04-06T15:28:42.673765+00:00,Entertainment,Live Music,Live Music,Live Music Special,Free live music performances (no cover),Fri & Sat 8:00 PM – 12:00 AM,Yes,Free / Social,$0,Ongoing,https://4milpas.com/,Official venue site
ChIJF1-E-wn_6oARDIXOjvZt1yg,43 Bar & Nightclub,"630 F Street, Wasco",Wasco,CA,,,Bar,4.3,,,"bar, night_club, point_of_interest",,,google_places,TRUE,FALSE,,FALSE,,,2026-03-16T16:07:00.866337+00:00,2026-03-16T16:07:00.866337+00:00,Nightclub,Nightclub,Early Entry,Early Entry Discount,$10 cover before 10 PM (regular $20),Thu–Sat before 10:00 PM,Yes,Urgency,$10–20,Ongoing,https://43bar.com/,Official venue site
ChIJyw-NdgAX2YARen68YKq54Bk,432/a. Cia. Guardia Nacional,"22254, Fraccionamiento Valle de las Palmas, Valle de las Palmas",Valle de las Palmas,CA,,,Bar,5,,,"night_club, point_of_interest, establishment",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-20T15:41:47.471145+00:00,2026-04-20T15:41:47.471145+00:00,Nightclub,Nightclub,Early Entry,Early Entry Discount,$8 cover before 10 PM (regular $15),Thu–Sat before 10:00 PM,Yes,Urgency,$8–15,Ongoing,https://432aguardia.com/,Official venue site
ChIJEzIj2AfZ3IAReO473osa_Nc,4th Street Market,"201 E 4th St, Santa Ana, CA 92701, USA",Santa Ana,CA,(714) 486-0700,https://4thstreetmarket.com/,Restaurants & Food,4.5,$$,"{""open_now"":true,""periods"":[{""close"":{""day"":0,""time"":""2100""},""open"":{""day"":0,""time"":""1100""}},{""close"":{""day"":1,""time"":""2100""},""open"":{""day"":1,""time"":""1100""}},{""close"":{""day"":2,""time"":""2100""},""open"":{""day"":2,""time"":""1100""}},{""close"":{""day"":3,""time"":""2100""}","establishment, food, point_of_interest",,,google_places,TRUE,FALSE,https://4thstreetmarket.com/,FALSE,2026-02-23T23:01:52.173+00:00,,2025-11-29T23:54:29.53587+00:00,2026-03-24T14:55:02.116457+00:00,Live Music Venue,Live Music,Live Music,Live Music Nights,Free live music performances in the market square,Fri & Sat 7:00 PM – 10:00 PM,Yes,Free / Social,$0,Ongoing,https://4thstreetmarket.com/,Official market site
ChIJJ8fGPmgb24AR1TDe4pMkvxA,533 Viet Fusion,"1775 East Palm Canyon Drive STE 625, Palm Springs",Palm Springs,CA,,,Restaurants & Food,4.2,$$,,"meal_takeaway, restaurant, point_of_interest",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-06T15:28:43.009983+00:00,2026-04-06T15:28:43.009983+00:00,Live Music Venue,Live Music,Live Music,Live Music Special,Free live music performances (no cover),Fri & Sat 8:00 PM – 12:00 AM,Yes,Free / Social,$0,Ongoing,https://533vietfusion.com/,Official venue site
ChIJu8rLVTwx3YARUp-2jk_MRUo,555 East American Steakhouse,"555 E Ocean Blvd, Long Beach, CA 90802, USA",Long Beach,CA,(562) 437-0626,http://www.555east.com/,Bar,4.7,$$$,"{""open_now"":false,""periods"":[{""close"":{""day"":0,""time"":""2200""},""open"":{""day"":0,""time"":""1700""}},{""close"":{""day"":1,""time"":""2200""},""open"":{""day"":1,""time"":""1130""}},{""close"":{""day"":2,""time"":""2200""},""open"":{""day"":2,""time"":""1130""}},{""close"":{""day"":3,""time"":""2200""","bar, establishment, food",,,google_places,TRUE,FALSE,https://nam11.safelinks.protection.outlook.com/?url=https%3A%2F%2Fforms.fishbowl.com%2Fopt-in%2F%3Flist%3D65ed55ae-2e2b-4dde-9499-898f2f01b541&amp;data=05%7C02%7Cmflores%40kingsseafood.com%7C479e3ceea7df4658cddd08dd5038aa96%7Cb4d779ea147548de9044832e2ee3f,TRUE,2026-02-23T23:01:52.808+00:00,,2025-11-25T00:31:23.436009+00:00,2026-03-17T15:26:18.695031+00:00,Live Music Venue,Live Music,Live Music,Live Music Nights,Free live music performances (no cover),Fri & Sat 8:00 PM – 12:00 AM,Yes,Free / Social,$0,Ongoing,http://www.555east.com/,Official venue site
ChIJpSd6K5SzxIARZPdswydJLM8,572 Social kitchen & lounge,"572 Pine Knot Avenue, Big Bear Lake",Big Bear Lake,CA,,,Restaurants & Food,4.3,$$,,"restaurant, night_club, bar",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-06T15:26:03.81313+00:00,2026-04-06T15:26:03.81313+00:00,Nightclub,Nightclub,Early Entry,Early Entry Discount,$10 cover before 10 PM (regular $20),Thu–Sat before 10:00 PM,Yes,Urgency,$10–20,Ongoing,https://572social.com/,Official venue site
ChIJsQf3zLXp3IARSLzglHLobKM,7-Eleven,"21701 Lake Forest Dr, Lake Forest, CA 92630, USA",Lake Forest,CA,(949) 770-6546,https://www.7-eleven.com/locations/ca/lake-forest/21701-lake-forest-dr-20803?utm_source=G&utm_medium=local&utm_campaign=google-local,Cafe,3.4,$,"{""open_now"":true,""periods"":[{""open"":{""day"":0,""time"":""0000""}}],""weekday_text"":[""Monday: Open 24 hours"",""Tuesday: Open 24 hours"",""Wednesday: Open 24 hours"",""Thursday: Open 24 hours"",""Friday: Open 24 hours"",""Saturday: Open 24 hours"",""Sunday: Open 24 hours""]}","cafe, convenience_store, establishment",,,google_places,TRUE,FALSE,,FALSE,2026-02-23T23:03:02.808+00:00,,2025-11-30T00:20:52.911734+00:00,2026-02-23T23:03:02.914344+00:00,Convenience Store,Convenience,Slurpee Promotion,Free Slurpee Day,Free small Slurpee on July 11th,July 11 only,Yes,Free / Scarcity,$0,Annual July 11,https://www.7-eleven.com/,Official 7-Eleven promotion
ChIJG7Ij2TXSwoARaTU3EKPB1M0,7-Eleven,"8244 Norwalk Blvd, Whittier, CA 90606, USA",Whittier,CA,(661) 406-3572,https://www.7-eleven.com/locations/ca/whittier/8244-norwalk-blvd-20677?utm_source=G&utm_medium=local&utm_campaign=google-local,Cafe,3,$,"{""open_now"":true,""periods"":[{""open"":{""day"":0,""time"":""0000""}}],""weekday_text"":[""Monday: Open 24 hours"",""Tuesday: Open 24 hours"",""Wednesday: Open 24 hours"",""Thursday: Open 24 hours"",""Friday: Open 24 hours"",""Saturday: Open 24 hours"",""Sunday: Open 24 hours""]}","cafe, convenience_store, establishment",,,google_places,TRUE,FALSE,,FALSE,2026-02-23T23:03:05.493+00:00,,2026-02-18T18:03:02.300388+00:00,2026-03-17T15:26:18.695031+00:00,Convenience Store,Convenience,Slurpee Promotion,Free Slurpee Day,Free small Slurpee on July 11 every year.,"July 11 annually, all day",Yes,Free,$2–4,Annual,https://www.7-eleven.com/,Verified official promotion
ChIJgQJxVWHf3IARp6XN-UFKVjA,7-Eleven,"2683 Harbor Blvd, Costa Mesa, CA 92626, USA",Costa Mesa,CA,(714) 549-8323,https://www.7-eleven.com/locations/ca/costa-mesa/2683-harbor-blvd-19671?utm_source=G&utm_medium=local&utm_campaign=google-local,Cafe,2.5,$,"{""open_now"":true,""periods"":[{""open"":{""day"":0,""time"":""0000""}}],""weekday_text"":[""Monday: Open 24 hours"",""Tuesday: Open 24 hours"",""Wednesday: Open 24 hours"",""Thursday: Open 24 hours"",""Friday: Open 24 hours"",""Saturday: Open 24 hours"",""Sunday: Open 24 hours""]}","cafe, convenience_store, establishment",,,google_places,TRUE,FALSE,,FALSE,2026-02-23T23:03:24.484+00:00,,2025-11-29T23:16:40.993915+00:00,2026-02-23T23:03:24.592415+00:00,Convenience Store,Convenience,Slurpee Promotion,Free Slurpee Day,Free small Slurpee on July 11 every year.,"July 11 annually, all day",Yes,Free,$2–4,Annual,https://www.7-eleven.com/,Verified official promotion
ChIJawk4NeDT3IARW-Q19W6GJRA,7-Eleven,"18532 Yorba Linda Blvd, Yorba Linda, CA 92886, USA",Yorba Linda,CA,(714) 779-0745,https://www.7-eleven.com/locations/ca/yorba-linda/18532-yorba-linda-blvd-25985?utm_source=G&utm_medium=local&utm_campaign=google-local,Cafe,2.4,$,"{""open_now"":true,""periods"":[{""open"":{""day"":0,""time"":""0000""}}],""weekday_text"":[""Monday: Open 24 hours"",""Tuesday: Open 24 hours"",""Wednesday: Open 24 hours"",""Thursday: Open 24 hours"",""Friday: Open 24 hours"",""Saturday: Open 24 hours"",""Sunday: Open 24 hours""]}","cafe, convenience_store, establishment",,,google_places,TRUE,FALSE,,FALSE,2026-02-23T23:02:58.796+00:00,,2026-01-30T18:06:58.742522+00:00,2026-03-17T15:26:18.695031+00:00,Convenience Store,Convenience,Slurpee Promotion,Free Slurpee Day,Free small Slurpee on July 11 every year.,"July 11 annually, all day",Yes,Free,$2–4,Annual,https://www.7-eleven.com/,Verified official promotion
ChIJDzWhsyLu3IARuxiFt7eJK6Q,7-Eleven,"26572 Junipero Serra Rd, San Juan Capistrano, CA 92675, USA",San Juan Capistrano,CA,(949) 493-8283,https://www.7-eleven.com/locations/ca/san-juan-capistrano/26572-junipero-serra-rd-39050?utm_source=G&utm_medium=local&utm_campaign=google-local,Cafe,3.8,$,"{""open_now"":true,""periods"":[{""open"":{""day"":0,""time"":""0000""}}],""weekday_text"":[""Monday: Open 24 hours"",""Tuesday: Open 24 hours"",""Wednesday: Open 24 hours"",""Thursday: Open 24 hours"",""Friday: Open 24 hours"",""Saturday: Open 24 hours"",""Sunday: Open 24 hours""]}","cafe, convenience_store, establishment",,,google_places,TRUE,FALSE,,FALSE,2026-02-23T23:03:20.109+00:00,,2026-01-27T16:01:39.951429+00:00,2026-03-17T15:26:18.695031+00:00,Convenience Store,Convenience,Slurpee Promotion,Free Slurpee Day,Free small Slurpee on July 11 every year.,"July 11 annually, all day",Yes,Free,$2–4,Annual,https://www.7-eleven.com/,Verified official promotion
ChIJJe1NaZfSwoARR2twHSqfZYI,7-Eleven,"10965 Firestone Blvd, Norwalk, CA 90650, USA",Norwalk,CA,(562) 406-3839,https://www.7-eleven.com/locations/ca/norwalk/10965-firestone-blv-34737?utm_source=G&utm_medium=local&utm_campaign=google-local,Cafe,3,$,"{""open_now"":true,""periods"":[{""open"":{""day"":0,""time"":""0000""}}],""weekday_text"":[""Monday: Open 24 hours"",""Tuesday: Open 24 hours"",""Wednesday: Open 24 hours"",""Thursday: Open 24 hours"",""Friday: Open 24 hours"",""Saturday: Open 24 hours"",""Sunday: Open 24 hours""]}","cafe, convenience_store, establishment",,,google_places,TRUE,FALSE,,FALSE,2026-02-23T23:02:54.396+00:00,,2026-02-18T18:03:02.300388+00:00,2026-03-17T15:26:18.695031+00:00,Convenience Store,Convenience,Slurpee Promotion,Free Slurpee Day,Free small Slurpee on July 11th,July 11 only,Yes,Free / Scarcity,$0,Annual July 11,https://www.7-eleven.com/,Official 7-Eleven promotion
ChIJ53ZfvYlMw4ARUcS3Pla-SnI,7-Eleven,"16701 Arrow Blvd, Fontana, CA 92335, USA",Fontana,CA,(909) 428-7913,https://www.7-eleven.com/locations/ca/fontana/16701-arrow-blvd-36032?utm_source=G&utm_medium=local&utm_campaign=google-local,Cafe,3,$,"{""open_now"":true,""periods"":[{""open"":{""day"":0,""time"":""0000""}}],""weekday_text"":[""Monday: Open 24 hours"",""Tuesday: Open 24 hours"",""Wednesday: Open 24 hours"",""Thursday: Open 24 hours"",""Friday: Open 24 hours"",""Saturday: Open 24 hours"",""Sunday: Open 24 hours""]}","cafe, convenience_store, establishment",,,google_places,TRUE,FALSE,,FALSE,2026-02-23T23:03:25.842+00:00,,2026-02-06T17:55:13.856317+00:00,2026-03-17T15:26:18.695031+00:00,Convenience Store,Convenience,Slurpee Deal,Free Slurpee Day,Free small Slurpee on July 11th,July 11 only,Yes,Free / Scarcity,$0,Annual July 11,https://www.7-eleven.com/,Official 7-Eleven promotion
